sample_date,sample_time,distance
07/04/2023,00:18:13,6.711427009
07/04/2023,00:18:44,6.711427009
07/04/2023,00:19:15,6.711427009
07/04/2023,00:19:46,6.711427009
07/04/2023,00:20:17,6.711427009
07/04/2023,00:20:48,6.711427009
07/04/2023,00:21:19,6.711427009
07/04/2023,00:21:50,6.711427009
07/04/2023,00:22:21,6.711427009
07/04/2023,00:22:52,6.711427009
07/04/2023,00:23:23,6.711427009
07/04/2023,00:23:54,6.711427009
07/04/2023,00:24:25,6.711427009
07/04/2023,00:24:56,6.711427009
07/04/2023,00:25:27,6.711427009
07/04/2023,00:25:58,6.711427009
07/04/2023,00:26:29,6.711427009
07/04/2023,00:27:00,6.667687261
07/04/2023,00:27:31,6.711427009
07/04/2023,00:28:02,6.711427009
07/04/2023,00:28:33,6.711427009
07/04/2023,00:29:04,6.711427009
07/04/2023,00:29:35,6.711427009
07/04/2023,00:30:06,6.667687261
07/04/2023,00:30:37,6.667687261
07/04/2023,00:31:08,6.711427009
07/04/2023,00:31:39,6.711427009
07/04/2023,00:32:10,6.711427009
07/04/2023,00:32:41,6.711427009
07/04/2023,00:33:12,6.667687261
07/04/2023,00:33:43,6.667687261
07/04/2023,00:34:14,6.667687261
07/04/2023,00:34:45,6.667687261
07/04/2023,00:35:16,6.711427009
07/04/2023,00:35:47,6.09907053
07/04/2023,00:36:18,6.448988518
07/04/2023,00:36:49,6.448988518
07/04/2023,00:37:20,6.186550027
07/04/2023,00:37:51,5.880371788
07/04/2023,00:38:22,6.667687261
07/04/2023,00:38:53,6.667687261
07/04/2023,00:39:24,6.667687261
07/04/2023,00:39:55,6.667687261
07/04/2023,00:40:26,6.848920455
07/04/2023,00:40:57,6.848920455
07/04/2023,00:41:28,6.848920455
07/04/2023,00:41:59,6.848920455
07/04/2023,00:42:30,6.848920455
07/04/2023,00:43:01,6.848920455
07/04/2023,00:43:32,6.848920455
07/04/2023,00:44:55,6.896647727
07/04/2023,00:45:26,6.848920455
07/04/2023,00:45:57,6.848920455
07/04/2023,00:46:28,6.848920455
07/04/2023,00:46:59,6.848920455
07/04/2023,00:47:30,6.848920455
07/04/2023,00:48:01,6.896647727
07/04/2023,00:48:32,6.848920455
07/04/2023,00:49:03,6.848920455
07/04/2023,00:49:34,6.848920455
07/04/2023,00:50:05,6.896647727
07/04/2023,00:50:36,6.896647727
07/04/2023,00:51:07,6.848920455
07/04/2023,00:51:38,6.848920455
07/04/2023,00:52:09,6.848920455
07/04/2023,00:52:40,6.492728267
07/04/2023,00:53:11,6.492728267
07/04/2023,00:53:42,6.492728267
07/04/2023,00:54:13,6.492728267
07/04/2023,00:54:44,6.492728267
07/04/2023,00:55:15,6.492728267
07/04/2023,00:55:46,6.492728267
07/04/2023,00:56:17,6.448988518
07/04/2023,00:56:48,6.448988518
07/04/2023,00:57:19,6.448988518
07/04/2023,00:57:50,6.448988518
07/04/2023,00:58:21,6.448988518
07/04/2023,00:58:52,6.448988518
07/04/2023,00:59:23,6.448988518
07/04/2023,00:59:54,6.448988518
07/04/2023,01:00:25,6.448988518
07/04/2023,01:00:56,6.448988518
07/04/2023,01:01:27,6.448988518
07/04/2023,01:01:58,6.448988518
07/04/2023,01:02:29,6.448988518
07/04/2023,01:03:00,6.448988518
07/04/2023,01:03:31,6.448988518
07/04/2023,01:04:02,6.448988518
07/04/2023,01:04:33,6.40524877
07/04/2023,01:05:04,6.40524877
07/04/2023,01:05:35,6.40524877
07/04/2023,01:06:06,6.40524877
07/04/2023,01:06:37,6.40524877
07/04/2023,01:07:08,6.40524877
07/04/2023,01:07:39,6.40524877
07/04/2023,01:08:10,6.40524877
07/04/2023,01:08:41,6.40524877
07/04/2023,01:09:12,6.40524877
07/04/2023,01:09:43,6.40524877
07/04/2023,01:10:14,6.40524877
07/04/2023,01:10:45,6.361509021
07/04/2023,01:11:16,6.361509021
07/04/2023,01:11:47,6.361509021
07/04/2023,01:12:18,6.361509021
07/04/2023,01:12:49,6.361509021
07/04/2023,01:13:20,6.361509021
07/04/2023,01:13:51,6.361509021
07/04/2023,01:14:22,6.361509021
07/04/2023,01:14:53,6.361509021
07/04/2023,01:16:17,6.055330782
07/04/2023,01:16:48,6.09907053
07/04/2023,01:17:19,6.142810279
07/04/2023,01:17:50,6.142810279
07/04/2023,01:18:21,6.361509021
07/04/2023,01:18:52,6.361509021
07/04/2023,01:19:23,6.361509021
07/04/2023,01:19:54,6.361509021
07/04/2023,01:20:25,6.361509021
07/04/2023,01:20:56,6.361509021
07/04/2023,01:21:27,6.361509021
07/04/2023,01:21:58,6.361509021
07/04/2023,01:22:29,6.361509021
07/04/2023,01:23:00,6.361509021
07/04/2023,01:23:31,6.361509021
07/04/2023,01:24:02,6.361509021
07/04/2023,01:24:33,6.361509021
07/04/2023,01:25:04,6.361509021
07/04/2023,01:25:35,6.361509021
07/04/2023,01:26:06,6.361509021
07/04/2023,01:26:37,6.361509021
07/04/2023,01:27:08,6.361509021
07/04/2023,01:27:39,6.361509021
07/04/2023,01:28:10,6.361509021
07/04/2023,01:28:41,6.361509021
07/04/2023,01:29:12,6.361509021
07/04/2023,01:29:43,6.361509021
07/04/2023,01:30:14,6.361509021
07/04/2023,01:30:45,6.361509021
07/04/2023,01:31:16,6.361509021
07/04/2023,01:31:47,6.361509021
07/04/2023,01:32:18,6.361509021
07/04/2023,01:32:49,6.361509021
07/04/2023,01:33:20,6.361509021
07/04/2023,01:33:51,6.361509021
07/04/2023,01:34:22,6.361509021
07/04/2023,01:34:53,6.361509021
07/04/2023,01:35:24,6.361509021
07/04/2023,01:35:55,6.361509021
07/04/2023,01:36:26,6.361509021
07/04/2023,01:36:57,6.361509021
07/04/2023,01:37:28,6.361509021
07/04/2023,01:37:59,6.361509021
07/04/2023,01:38:30,6.361509021
07/04/2023,01:39:01,6.361509021
07/04/2023,01:39:32,6.361509021
07/04/2023,01:40:03,6.361509021
07/04/2023,01:40:34,6.361509021
07/04/2023,01:41:05,6.361509021
07/04/2023,01:41:36,6.361509021
07/04/2023,01:42:07,6.361509021
07/04/2023,01:42:38,6.361509021
07/04/2023,01:43:09,6.361509021
07/04/2023,01:43:40,6.361509021
07/04/2023,01:44:11,6.361509021
07/04/2023,01:44:42,6.361509021
07/04/2023,01:45:13,6.361509021
07/04/2023,01:45:44,6.361509021
07/04/2023,01:46:15,6.361509021
07/04/2023,01:47:38,6.361509021
07/04/2023,01:48:09,6.361509021
07/04/2023,01:48:40,6.361509021
07/04/2023,01:49:11,6.361509021
07/04/2023,01:49:42,6.361509021
07/04/2023,01:50:13,6.055330782
07/04/2023,01:50:44,6.711427009
07/04/2023,01:51:15,6.492728267
07/04/2023,01:51:46,6.492728267
07/04/2023,01:52:17,6.623947512
07/04/2023,01:52:48,6.623947512
07/04/2023,01:53:19,6.623947512
07/04/2023,01:53:50,6.623947512
07/04/2023,01:54:21,6.580207764
07/04/2023,01:54:52,6.623947512
07/04/2023,01:55:23,6.623947512
07/04/2023,01:55:54,6.623947512
07/04/2023,01:56:25,6.623947512
07/04/2023,01:56:56,6.623947512
07/04/2023,01:57:27,6.623947512
07/04/2023,01:57:58,6.667687261
07/04/2023,01:58:29,6.755166758
07/04/2023,01:59:00,6.755166758
07/04/2023,01:59:31,6.848920455
07/04/2023,02:00:02,6.848920455
07/04/2023,02:00:33,6.848920455
07/04/2023,02:01:04,6.848920455
07/04/2023,02:01:35,6.848920455
07/04/2023,02:02:06,6.623947512
07/04/2023,02:02:37,6.623947512
07/04/2023,02:03:08,6.623947512
07/04/2023,02:03:39,6.623947512
07/04/2023,02:04:10,6.623947512
07/04/2023,02:04:41,6.623947512
07/04/2023,02:05:12,6.580207764
07/04/2023,02:05:43,6.492728267
07/04/2023,02:06:14,6.448988518
07/04/2023,02:06:45,6.448988518
07/04/2023,02:07:16,6.40524877
07/04/2023,02:07:47,6.40524877
07/04/2023,02:08:18,6.448988518
07/04/2023,02:08:49,6.448988518
07/04/2023,02:09:20,6.448988518
07/04/2023,02:09:51,6.448988518
07/04/2023,02:10:22,6.448988518
07/04/2023,02:10:53,6.448988518
07/04/2023,02:11:24,6.448988518
07/04/2023,02:11:55,6.448988518
07/04/2023,02:12:26,6.448988518
07/04/2023,02:12:57,6.448988518
07/04/2023,02:13:28,6.448988518
07/04/2023,02:13:59,6.448988518
07/04/2023,02:14:30,6.448988518
07/04/2023,02:15:01,6.448988518
07/04/2023,02:15:32,6.448988518
07/04/2023,02:16:03,6.448988518
07/04/2023,02:16:34,6.448988518
07/04/2023,02:17:05,6.448988518
07/04/2023,02:17:36,6.448988518
07/04/2023,02:18:57,6.448988518
07/04/2023,02:19:28,6.448988518
07/04/2023,02:19:59,6.448988518
07/04/2023,02:20:30,6.448988518
07/04/2023,02:21:01,6.448988518
07/04/2023,02:21:32,6.448988518
07/04/2023,02:22:03,6.448988518
07/04/2023,02:22:34,6.361509021
07/04/2023,02:23:05,6.317769273
07/04/2023,02:23:36,6.230289776
07/04/2023,02:24:07,6.230289776
07/04/2023,02:24:38,6.230289776
07/04/2023,02:25:09,6.230289776
07/04/2023,02:25:40,6.186550027
07/04/2023,02:26:11,6.142810279
07/04/2023,02:26:42,6.536468015
07/04/2023,02:27:13,6.536468015
07/04/2023,02:27:44,6.492728267
07/04/2023,02:28:15,6.492728267
07/04/2023,02:28:46,6.492728267
07/04/2023,02:29:17,6.492728267
07/04/2023,02:29:48,6.492728267
07/04/2023,02:30:19,6.536468015
07/04/2023,02:30:50,6.580207764
07/04/2023,02:31:21,6.623947512
07/04/2023,02:31:52,6.536468015
07/04/2023,02:32:23,6.580207764
